point,permitnum,address,applicant,category,description,proposedusecode,proposedusedescription,permitteddiscretionary,landusedistrict,landusedistrictdescription,statuscurrent,applieddate,decisiondate,releasedate,mustcommencedate,decision,decisionby,communitycode,communityname,ward,quadrant,latitude,longitude,locationcount,locationtypes,locationaddresses,locationsgeojson,locationswkt,canceledrefuseddate,sdabnumber,sdabhearingdate,sdabdecision,sdabdecisiondate
"{'type': 'Point', 'coordinates': [-113.96241240813512, 51.153164563147236]}",DP2022-05518,34 CITYSCAPE HE NE,CONTRIVE ENGINEERING AND PROJECT MANAGEMENT SERVICE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT) - PARKING STALL SIZE,C2626,SECONDARY SUITE,Permitted with a Relaxation,DC,Direct Control (1P2007),Released,2022-08-07T00:00:00.000,2022-08-31T00:00:00.000,2022-10-04T00:00:00.000,2024-08-31T00:00:00.000,Approval,Development Authority,CSC,CITYSCAPE,5,NE,51.153,-113.962,2,Titled Parcel;Building,34 CITYSCAPE HE NE;34 CITYSCAPE HE NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9624124,51.1531646],[-113.9625381,51.1531652]]}","MULTIPOINT ((-113.96241240813512 51.153164563147236),(-113.96253810922906 51.153165241729944))",,,,,
"{'type': 'Point', 'coordinates': [-114.20609593965843, 51.11459443140218]}",DP2022-05515,119 SILVERCREEK CL NW,SARA KARIMI AVVAL*,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),C2626,SECONDARY SUITE,Discretionary,R-C1,Residential - Contextual One Dwelling,Released,2022-08-07T00:00:00.000,2022-09-02T00:00:00.000,2022-10-04T00:00:00.000,2024-09-02T00:00:00.000,Approval,Development Authority,SIL,SILVER SPRINGS,1,NW,51.115,-114.206,2,Titled Parcel;Building,119 SILVERCREEK CL NW;119 SILVERCREEK CL NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.2060959,51.1145944],[-114.2062329,51.1145209]]}","MULTIPOINT ((-114.20609593965843 51.11459443140218),(-114.20623293530224 51.11452094231711))",,,,,
"{'type': 'Point', 'coordinates': [-113.96804334291663, 51.08182870547155]}",DP2022-05516,224 WHITEVIEW RD NE,,Residential - Secondary Suite,NEW: BACKYARD SUITE (CONVERTING EXISTING GARAGE),C1175,BACKYARD SUITE,Discretionary,R-C1,Residential - Contextual One Dwelling,Released,2022-08-07T00:00:00.000,2022-10-07T00:00:00.000,2022-11-07T00:00:00.000,2024-10-07T00:00:00.000,Approval,Development Authority,WHI,WHITEHORN,10,NE,51.082,-113.968,2,Titled Parcel;Building,224 WHITEVIEW RD NE;224 WHITEVIEW RD NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9680433,51.0818287],[-113.9680389,51.0819509]]}","MULTIPOINT ((-113.96804334291663 51.08182870547155),(-113.96803894854139 51.08195093689308))",,,,,
"{'type': 'Point', 'coordinates': [-114.10992753826703, 51.182546229922465]}",DP2022-05517,170 EVANSCREST PL NW,,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),C2626,SECONDARY SUITE,Discretionary,R-1N,Residential - Narrow Parcel One Dwelling,Released,2022-08-07T00:00:00.000,2022-09-09T00:00:00.000,2022-10-11T00:00:00.000,2024-09-09T00:00:00.000,Approval,Development Authority,EVN,EVANSTON,2,NW,51.183,-114.110,2,Titled Parcel;Building,170 EVANSCREST PL NW;170 EVANSCREST PL NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1099275,51.1825462],[-114.1100621,51.1825466]]}","MULTIPOINT ((-114.10992753826703 51.182546229922465),(-114.11006207414484 51.182546561910534))",,,,,
"{'type': 'Point', 'coordinates': [-114.08703302627245, 51.13862744444047]}",DP2022-05513,9274 SANTANA CR NW,427 AUTOMOTIVE,Home Occupation Class 2,TEMPORARY USE: HOME OCCUPATION - CLASS 2 (MOTOR VEHICLE DEALER - 18 MONTHS),C1730,HOME OCCUPATION - CLASS 2,Discretionary,R-C1,Residential - Contextual One Dwelling,Released,2022-08-06T00:00:00.000,2022-09-26T00:00:00.000,2022-10-21T00:00:00.000,2023-09-26T00:00:00.000,Approval,Development Authority,SAN,SANDSTONE VALLEY,3,NW,51.139,-114.087,2,Titled Parcel;Building,9274 SANTANA CR NW;9274 SANTANA CR NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.087033,51.1386274],[-114.0871315,51.1387242]]}","MULTIPOINT ((-114.08703302627245 51.13862744444047),(-114.08713152048877 51.138724242930444))",,,,,
"{'type': 'Point', 'coordinates': [-113.96855760621487, 51.156218333089726]}",DP2022-05512,351 SKYVIEW SHORES MR NE,,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),C2626,SECONDARY SUITE,Discretionary,R-1N,Residential - Narrow Parcel One Dwelling,Released,2022-08-06T00:00:00.000,2022-09-23T00:00:00.000,2022-10-21T00:00:00.000,2024-09-23T00:00:00.000,Approval,Development Authority,SKR,SKYVIEW RANCH,5,NE,51.156,-113.969,2,Titled Parcel;Building,351 SKYVIEW SHORES MR NE;351 SKYVIEW SHORES MR NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9685576,51.1562183],[-113.9683769,51.1562244]]}","MULTIPOINT ((-113.96855760621487 51.156218333089726),(-113.96837687079642 51.15622440626191))",,,,,
"{'type': 'Point', 'coordinates': [-114.05368987770285, 51.041659621926215]}",DP2022-05514,488 12 AV SE,AERO SIGN & PRINT,Signs - Permitted Use,NEW: SIGN - CLASS B (FASCIA SIGN),C2680,SIGN - CLASS B,Permitted,DC,DIRECT CONTROL DISTRICT                                 ,Released,2022-08-06T00:00:00.000,2022-08-18T00:00:00.000,2022-08-18T00:00:00.000,2025-08-18T00:00:00.000,Approval,Development Authority,BLN,BELTLINE,8,SE,51.042,-114.054,3,Titled Parcel;Building;Entryway,1111 OLYMPIC WY SE;1111 OLYMPIC WY SE;488 12 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0536899,51.0416596],[-114.05385,51.0416068],[-114.0538979,51.0413233]]}","MULTIPOINT ((-114.05368987770285 51.041659621926215),(-114.05384995276678 51.04160683245495),(-114.05389792126321 51.041323282968044))",,,,,
"{'type': 'Point', 'coordinates': [-113.9515234233588, 51.09001070636888]}",DP2022-05549,4216 55 ST NE,ENCHANTED AESTHETICS,Home Occupation Class 2,TEMPORARY USE: HOME OCCUPATION - CLASS 2 (AESTHETICS - 18 MONTHS),C1730,HOME OCCUPATION - CLASS 2,Discretionary,R-C1,Residential - Contextual One Dwelling,Released,2022-08-09T00:00:00.000,2022-09-18T00:00:00.000,2022-10-17T00:00:00.000,2024-09-18T00:00:00.000,Approval,Development Authority,TEM,TEMPLE,10,NE,51.090,-113.952,2,Titled Parcel;Building,4216 55 ST NE;4216 55 ST NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9515234,51.0900107],[-113.9513864,51.0900264]]}","MULTIPOINT ((-113.9515234233588 51.09001070636888),(-113.95138639978595 51.09002640835703))",,,,,
"{'type': 'Point', 'coordinates': [-114.12933958934525, 51.03808539743207]}",DP2022-05550,2920 17 AV SW,HOUSE OF BISHOP,Change of Use - Permitted Use,REVISION: RETAIL AND CONSUMER SERVICE (CHANGE OF USE TO DP2016-4510),C2515,RETAIL AND CONSUMER SERVICE,Permitted,DC,Direct Control (1P2007),Released,2022-08-09T00:00:00.000,2022-08-17T00:00:00.000,2022-08-17T00:00:00.000,2023-08-17T00:00:00.000,Approval,Development Authority,SHG,SHAGANAPPI,8,SW,51.038,-114.129,3,Titled Parcel;Building;Building Suite,1750 29 ST SW;1750 29 ST SW;2920 17 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1293396,51.0380854],[-114.1290642,51.0381133],[-114.1292677,51.0380041]]}","MULTIPOINT ((-114.12933958934525 51.03808539743207),(-114.12906424773595 51.03811325539674),(-114.12926765664695 51.0380040928254))",,,,,
"{'type': 'Point', 'coordinates': [-114.11735978210457, 51.02059948076595]}",DP2022-05551,25 SOMME ME SW,KELLAM BERG ENGINEERING & SURVEYS LTD,Relaxation - Existing - Compliance Follow-Up,RELAXATION: PRIVACY WALL (EXISTING) - HEIGHT,C1455,DECK,Discretionary,R-C2,Residential - Contextual One/Two Dwelling,Released,2022-08-09T00:00:00.000,2022-08-15T00:00:00.000,2022-09-12T00:00:00.000,2024-08-15T00:00:00.000,Approval,Development Authority,GAW,GARRISON WOODS,8,SW,51.021,-114.117,2,Titled Parcel;Building,25 SOMME ME SW;25 SOMME ME SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1173598,51.0205995],[-114.1173506,51.0205191]]}","MULTIPOINT ((-114.11735978210457 51.02059948076595),(-114.11735059975751 51.02051913938424))",,,,,
